,trial_num,episode_num,trial_type,episode_type,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,novelty_id,level,env_config
0,0,4,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,5,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,6,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,7,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,8,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,9,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,10,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,11,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,12,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,13,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,0,14,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,0,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,1,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,2,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,3,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,4,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,5,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,6,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,7,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,8,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,9,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,10,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,11,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,12,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,13,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,1,14,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,2,0,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,2,1,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,2,2,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,2,3,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,2,4,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,2,5,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,2,6,known,novelty,1.0,0.999999,0,{},0.965,0.0,2.0,{'gravity': 12}
0,2,7,known,novelty,1.0,0.999999,0,{},0.9,0.0,2.0,{'gravity': 12}
0,2,8,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,2,9,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,2,10,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,2,11,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,2,12,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,2,13,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,2,14,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,0,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,1,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,2,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,3,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,4,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,5,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,6,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,7,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,8,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,9,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,10,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,11,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,12,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,13,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,3,14,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,0,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,1,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,2,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,3,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,4,known,non-novelty-performance,0.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,5,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,6,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,7,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,8,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,9,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,10,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,11,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,12,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,13,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
0,4,14,known,novelty,1.0,0.999999,0,{},1.0,0.0,2.0,{'gravity': 12}
