,trial_num,episode_num,type,novelty_probability,novelty_threshold,novelty,novelty_characterization,performance,novelty_id,level,env_config
0,2,13,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,14,known-novelty,1.0,0.999999,0,nothing,0.99,0.0,2.0,{'length': 0.3}
0,2,15,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,16,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,17,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,18,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,2,19,known-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,0,non-novelty-performance,0.8486302010338321,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,1,non-novelty-performance,0.8486302010338321,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,2,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,3,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,4,non-novelty-performance,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,5,unknown-novelty,1.0,0.999999,0,nothing,0.27,0.0,2.0,{'length': 0.3}
0,3,6,unknown-novelty,1.0,0.999999,0,nothing,0.185,0.0,2.0,{'length': 0.3}
0,3,7,unknown-novelty,1.0,0.999999,0,nothing,0.345,0.0,2.0,{'length': 0.3}
0,3,8,unknown-novelty,1.0,0.999999,0,nothing,0.59,0.0,2.0,{'length': 0.3}
0,3,9,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,10,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
0,3,11,unknown-novelty,1.0,0.999999,0,nothing,1.0,0.0,2.0,{'length': 0.3}
